"price","date"
24350,"1990-12-12"
24088,"1990-12-13"
24424,"1990-12-14"
24877,"1990-12-17"
24525,"1990-12-18"
24120,"1990-12-19"
23768,"1990-12-20"
23888,"1990-12-21"
23941,"1990-12-25"
23849,"1990-12-26"
24069,"1990-12-27"
23737,"1990-12-28"
22898,"1991-01-04"
22969,"1991-01-07"
23047,"1991-01-08"
23241,"1991-01-09"
23213,"1991-01-10"
22443,"1991-01-11"
23447,"1991-01-14"
23808,"1991-01-16"
23352,"1991-01-17"
23254,"1991-01-18"
23050,"1991-01-21"
23269,"1991-01-22"
23573,"1991-01-23"
23569,"1991-01-24"
23460,"1991-01-25"
23410,"1991-01-28"
23293,"1991-01-29"
23157,"1991-01-30"
23287,"1991-01-31"
23822,"1991-02-01"
23952,"1991-02-04"
24104,"1991-02-05"
24296,"1991-02-06"
24935,"1991-02-07"
25139,"1991-02-08"
25356,"1991-02-12"
25344,"1991-02-13"
26230,"1991-02-14"
26167,"1991-02-15"
26199,"1991-02-18"
26024,"1991-02-19"
25903,"1991-02-20"
26463,"1991-02-21"
26283,"1991-02-22"
26094,"1991-02-25"
26409,"1991-02-26"
25882,"1991-02-27"
25976,"1991-02-28"
25913,"1991-03-01"
26383,"1991-03-04"
26398,"1991-03-05"
26608,"1991-03-06"
26669,"1991-03-07"
26727,"1991-03-08"
26418,"1991-03-11"
26542,"1991-03-12"
26843,"1991-03-13"
27147,"1991-03-14"
27007,"1991-03-15"
26449,"1991-03-18"
26613,"1991-03-19"
26646,"1991-03-21"
26339,"1991-03-22"
26105,"1991-03-25"
26207,"1991-03-26"
26292,"1991-03-27"
26007,"1991-03-28"
26252,"1991-03-29"
26780,"1991-04-01"
26690,"1991-04-02"
26767,"1991-04-03"
26608,"1991-04-04"
26317,"1991-04-05"
26269,"1991-04-08"
26425,"1991-04-09"
26583,"1991-04-10"
26696,"1991-04-11"
26813,"1991-04-12"
26980,"1991-04-15"
26799,"1991-04-16"
26542,"1991-04-17"
26237,"1991-04-18"
26492,"1991-04-19"
26330,"1991-04-22"
26039,"1991-04-23"
26124,"1991-04-24"
26111,"1991-04-25"
26489,"1991-04-26"
26478,"1991-04-30"
26342,"1991-05-01"
26310,"1991-05-02"
26439,"1991-05-07"
26274,"1991-05-08"
26093,"1991-05-09"
26030,"1991-05-10"
25822,"1991-05-13"
25520,"1991-05-14"
25702,"1991-05-15"
25523,"1991-05-16"
25481,"1991-05-17"
25399,"1991-05-20"
25644,"1991-05-21"
25529,"1991-05-22"
25426,"1991-05-23"
25391,"1991-05-24"
25495,"1991-05-27"
25647,"1991-05-28"
25790,"1991-05-29"
25913,"1991-05-30"
25557,"1991-05-31"
25290,"1991-06-03"
24984,"1991-06-04"
25035,"1991-06-05"
24598,"1991-06-06"
24663,"1991-06-07"
24483,"1991-06-10"
24808,"1991-06-11"
25094,"1991-06-12"
24943,"1991-06-13"
24685,"1991-06-14"
23997,"1991-06-17"
24082,"1991-06-18"
24275,"1991-06-19"
23765,"1991-06-20"
23907,"1991-06-21"
23766,"1991-06-24"
23543,"1991-06-25"
23291,"1991-06-26"
24109,"1991-06-27"
23996,"1991-06-28"
23373,"1991-07-01"
23136,"1991-07-02"
22898,"1991-07-03"
22176,"1991-07-04"
22609,"1991-07-05"
23121,"1991-07-08"
22938,"1991-07-09"
23138,"1991-07-10"
23459,"1991-07-11"
23375,"1991-07-12"
23061,"1991-07-15"
22909,"1991-07-16"
22866,"1991-07-17"
22705,"1991-07-18"
22759,"1991-07-19"
23297,"1991-07-22"
23333,"1991-07-23"
23519,"1991-07-24"
23444,"1991-07-25"
23873,"1991-07-26"
24121,"1991-07-29"
24073,"1991-07-30"
24028,"1991-07-31"
23833,"1991-08-01"
23465,"1991-08-02"
23691,"1991-08-05"
23482,"1991-08-06"
23435,"1991-08-07"
22986,"1991-08-08"
22872,"1991-08-09"
23393,"1991-08-12"
23019,"1991-08-13"
22814,"1991-08-14"
21457,"1991-08-15"
21687,"1991-08-16"
22052,"1991-08-19"
22516,"1991-08-20"
22065,"1991-08-21"
21592,"1991-08-22"
21641,"1991-08-23"
21622,"1991-08-26"
22002,"1991-08-27"
22336,"1991-08-28"
22469,"1991-08-29"
22470,"1991-08-30"
22403,"1991-09-02"
22500,"1991-09-03"
22693,"1991-09-04"
22574,"1991-09-05"
22412,"1991-09-06"
22505,"1991-09-09"
22530,"1991-09-10"
23134,"1991-09-11"
23444,"1991-09-12"
23318,"1991-09-13"
23332,"1991-09-17"
23193,"1991-09-18"
23334,"1991-09-19"
23577,"1991-09-20"
23968,"1991-09-24"
23969,"1991-09-25"
23916,"1991-09-26"
24377,"1991-09-27"
24375,"1991-09-30"
24711,"1991-10-01"
24597,"1991-10-02"
24331,"1991-10-03"
24156,"1991-10-04"
24485,"1991-10-07"
24158,"1991-10-08"
23861,"1991-10-09"
24308,"1991-10-11"
24335,"1991-10-14"
24440,"1991-10-15"
24895,"1991-10-16"
25017,"1991-10-17"
24955,"1991-10-18"
24800,"1991-10-21"
24949,"1991-10-22"
24906,"1991-10-23"
24902,"1991-10-24"
25141,"1991-10-25"
24981,"1991-10-28"
25222,"1991-10-29"
25044,"1991-10-30"
24951,"1991-10-31"
24750,"1991-11-01"
24447,"1991-11-05"
24486,"1991-11-06"
24233,"1991-11-07"
24668,"1991-11-08"
24416,"1991-11-11"
24177,"1991-11-12"
24099,"1991-11-13"
23400,"1991-11-14"
23327,"1991-11-15"
23200,"1991-11-18"
23178,"1991-11-19"
23117,"1991-11-20"
22869,"1991-11-21"
23112,"1991-11-22"
22973,"1991-11-25"
22780,"1991-11-26"
22687,"1991-11-27"
21992,"1991-11-28"
22167,"1991-11-29"
22669,"1991-12-02"
22459,"1991-12-03"
22445,"1991-12-04"
22353,"1991-12-05"
21953,"1991-12-06"
21503,"1991-12-09"
21713,"1991-12-10"
22755,"1991-12-11"
22837,"1991-12-12"
22736,"1991-12-13"
22630,"1991-12-16"
21991,"1991-12-17"
21777,"1991-12-18"
21665,"1991-12-19"
22461,"1991-12-20"
22555,"1991-12-24"
22437,"1991-12-25"
22984,"1991-12-26"
23801,"1991-12-27"
23566,"1991-12-30"
22715,"1992-01-06"
23114,"1992-01-07"
22382,"1992-01-08"
21697,"1992-01-09"
21775,"1992-01-10"
21612,"1992-01-13"
21321,"1992-01-14"
20914,"1992-01-16"
20858,"1992-01-17"
21534,"1992-01-20"
21581,"1992-01-21"
21072,"1992-01-22"
21007,"1992-01-23"
21391,"1992-01-24"
21362,"1992-01-27"
21558,"1992-01-28"
22023,"1992-01-29"
22140,"1992-01-30"
22000,"1992-01-31"
21936,"1992-02-03"
22105,"1992-02-04"
22107,"1992-02-05"
21820,"1992-02-06"
21542,"1992-02-07"
21391,"1992-02-10"
20884,"1992-02-12"
21325,"1992-02-13"
20872,"1992-02-14"
20618,"1992-02-17"
20772,"1992-02-18"
21292,"1992-02-19"
20973,"1992-02-20"
21026,"1992-02-21"
21365,"1992-02-24"
21334,"1992-02-25"
21339,"1992-02-26"
21488,"1992-02-27"
21052,"1992-02-28"
21105,"1992-03-02"
20864,"1992-03-03"
20993,"1992-03-04"
20798,"1992-03-05"
20855,"1992-03-06"
20592,"1992-03-09"
20562,"1992-03-10"
20456,"1992-03-11"
19837,"1992-03-12"
19918,"1992-03-13"
19764,"1992-03-16"
20185,"1992-03-17"
20240,"1992-03-18"
19892,"1992-03-19"
20227,"1992-03-23"
19885,"1992-03-24"
19637,"1992-03-25"
19669,"1992-03-26"
19346,"1992-03-27"
18582,"1992-03-30"
18286,"1992-03-31"
18560,"1992-04-01"
18436,"1992-04-02"
17792,"1992-04-03"
17176,"1992-04-06"
16598,"1992-04-07"
17851,"1992-04-08"
17237,"1992-04-09"
17440,"1992-04-10"
17948,"1992-04-13"
17960,"1992-04-14"
17581,"1992-04-15"
17071,"1992-04-16"
16787,"1992-04-17"
16839,"1992-04-20"
17402,"1992-04-21"
17542,"1992-04-22"
17451,"1992-04-23"
